frame,bin,real,imag,magnitude,phase_deg
6,3,0.140820,0.120403,0.185276,40.53
6,4,0.040535,-0.195713,0.199867,-78.30
6,5,0.285561,-0.077831,0.295977,-15.25
6,6,-0.108044,-0.235233,0.258859,-114.67
6,7,0.028751,-0.134533,0.137571,-77.94
6,8,-0.478813,0.222912,0.528159,155.04
6,9,-0.343346,-0.423851,0.545469,-129.01
6,10,-0.317902,0.462872,0.561526,124.48
6,11,0.079823,-0.048698,0.093505,-31.39
6,12,0.045753,0.398727,0.401344,83.45
6,13,-0.037754,0.215950,0.219225,99.92
6,14,0.060699,-0.452545,0.456598,-82.36
6,15,0.306446,0.144798,0.338933,25.29
6,16,-0.126640,0.178127,0.218557,125.41
6,17,0.107162,0.002647,0.107195,1.42
6,18,-0.346279,-0.028553,0.347454,-175.29
6,19,-0.408363,0.113544,0.423855,164.46
6,20,0.000000,0.000000,0.000000,0.00
7,0,-0.014542,-0.156277,0.156952,-95.32
7,1,0.333454,-0.091713,0.345837,-15.38
7,2,0.175552,-0.060574,0.185709,-19.04
7,3,0.140850,0.089146,0.166690,32.33
7,4,-0.459465,-0.195713,0.499411,-156.93
7,5,0.285561,-0.077847,0.295981,-15.25
7,6,-0.108044,-0.239140,0.262414,-114.31
7,7,0.020939,-0.134594,0.136213,-81.16
7,8,-0.482716,0.222904,0.531696,155.21
7,9,-0.343346,-0.424828,0.546228,-128.95
7,10,-0.319855,0.464825,0.564242,124.53
7,11,0.081776,-0.050652,0.096192,-31.77
7,12,-0.454247,0.398727,0.604420,138.72
7,13,-0.061192,0.214973,0.223513,105.89
7,14,0.060699,-0.452789,0.456840,-82.36
7,15,0.306446,0.146751,0.339772,25.59
7,16,-0.142265,0.428127,0.451146,108.38
7,17,0.107162,0.010460,0.107672,5.57
7,18,-0.346279,-0.028553,0.347454,-175.29
7,19,-0.408363,0.113544,0.423855,164.46
7,20,0.000000,0.000000,0.000000,0.00
8,0,0.493275,-0.160183,0.518631,-17.99
8,1,-0.385300,-0.091713,0.396065,-166.61
8,2,0.175552,-0.060574,0.185709,-19.04
8,3,0.141796,0.089146,0.167491,32.16
8,4,-0.209473,-0.195713,0.286675,-136.94
8,5,0.285561,-0.077343,0.295849,-15.15
8,6,-0.108074,-0.235233,0.258872,-114.68
8,7,0.052197,-0.134533,0.144304,-68.79
8,8,-0.482716,0.222904,0.531696,155.21
8,9,-0.343346,-0.423882,0.545492,-129.01
8,10,-0.317902,0.464825,0.563137,124.37
8,11,0.081745,-0.048698,0.095151,-30.78
8,12,0.045753,0.398727,0.401344,83.45
8,13,-0.051426,0.214973,0.221039,103.45
8,14,0.060699,-0.452785,0.456836,-82.36
8,15,0.431446,0.144798,0.455096,18.55
8,16,-0.126213,0.177883,0.218110,125.36
8,17,0.122665,0.002647,0.122694,1.24
8,18,-0.315029,-0.028553,0.316320,-174.82
8,19,-0.408363,0.363544,0.546741,138.32
8,20,0.000000,0.000000,0.000000,0.00
9,0,0.485397,-0.156277,0.509934,-17.85
9,1,0.317829,-0.091774,0.330814,-16.11
9,2,-0.324448,-0.060574,0.330054,-169.42
9,3,0.204784,0.120396,0.237554,30.45
9,4,0.040535,-0.195713,0.199867,-78.30
9,5,0.254311,-0.077831,0.265954,-17.02
9,6,-0.233044,-0.239140,0.333912,-134.26
9,7,0.052189,-0.134533,0.144301,-68.80
